catalog	id	relationship	url	title	editor_status	proposal_stage	published_status	published_date	published_url	standing	organization	browser_target	series	repository	tests	tags	review_state	source	row_sha256
browser-specs	vcalm-1.0	umbrella	https://www.w3.org/TR/vcalm-1.0/	VCALM v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vcalm-1.0/	good	W3C	no	vcalm	https://github.com/w3c/vcalm			CATALOG_INGESTED	index.json	2de5bfb559828e263d2e562a0122240179ea3e35e49358833e0645cf1dfdc7d8
browser-specs	vibration	umbrella	https://www.w3.org/TR/vibration/	Vibration API	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Draft	UNKNOWN	https://www.w3.org/TR/vibration/	good	W3C	yes	vibration	https://github.com/w3c/vibration	vibration		CATALOG_INGESTED	index.json	22a063d012c7d06407c309f046b15f0ae2999ca41da97486c0cadbfba01436c6
browser-specs	virtual-keyboard	umbrella	https://www.w3.org/TR/virtual-keyboard/	VirtualKeyboard API	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/virtual-keyboard/	good	W3C	yes	virtual-keyboard	https://github.com/w3c/virtual-keyboard		device-input	CATALOG_INGESTED	index.json	467d1ff2a381daff9922f642a3485dd6323316edabefb95655785c094027080b
browser-specs	vocab-dcat-3	umbrella	https://www.w3.org/TR/vocab-dcat-3/	Data Catalog Vocabulary (DCAT) - Version 3	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vocab-dcat-3/	good	W3C	no	vocab-dcat	https://github.com/w3c/dxwg			CATALOG_INGESTED	index.json	7875c0d18c3e0858d827fb8568ed59a164c811f8a46856cc80bc2eedd7d4e235
browser-specs	vocab-owl-time-agg	umbrella	https://www.w3.org/TR/vocab-owl-time-agg/	Extensions to the OWL-Time Ontology - temporal aggregates	Editor's Draft	NOT_APPLICABLE	Note	UNKNOWN	https://www.w3.org/TR/vocab-owl-time-agg/	good	W3C/OGC	no	vocab-owl-time-agg	https://github.com/w3c/sdw			CATALOG_INGESTED	index.json	68c9f6119607a35ca227c7c8255143b12a6ef0d405255091277d31a46a2c3abc
browser-specs	vocab-owl-time-rel	umbrella	https://www.w3.org/TR/vocab-owl-time-rel/	Extensions to the OWL-Time Ontology - entity relations	Editor's Draft	NOT_APPLICABLE	Note	UNKNOWN	https://www.w3.org/TR/vocab-owl-time-rel/	good	W3C/OGC	no	vocab-owl-time-rel	https://github.com/w3c/sdw			CATALOG_INGESTED	index.json	2145f69b067cd7825fb8aee2f6db517d7dba4ae21693dd9c4fc02e65dd406e2d
browser-specs	vocab-ssn-2017	umbrella	https://www.w3.org/TR/vocab-ssn-2017/	Semantic Sensor Network Ontology	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vocab-ssn-2017/	good	W3C/OGC	no	vocab-ssn	https://github.com/w3c/sdw		network-realtime,device-input	CATALOG_INGESTED	index.json	6e5de499bb22d89191d8af2ba990d35c557282317d81b3a6672ebfe70203c378
browser-specs	vocab-ssn-2023	umbrella	https://www.w3.org/TR/vocab-ssn-2023/	Semantic Sensor Network Ontology - 2023 Edition	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vocab-ssn-2023/	good	W3C/OGC	no	vocab-ssn	https://github.com/w3c/sdw-sosa-ssn		network-realtime,device-input	CATALOG_INGESTED	index.json	3dec0d6d229561da484c78a279ae5d67b6c1525f3460f9621ceeeaab1790edf8
browser-specs	vocab-ssn-ext	umbrella	https://www.w3.org/TR/vocab-ssn-ext/	Extensions to the Semantic Sensor Network Ontology	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vocab-ssn-ext/	good	W3C/OGC	no	vocab-ssn-ext	https://github.com/w3c/sdw		network-realtime,device-input	CATALOG_INGESTED	index.json	ce563e9710ff2c9da774f9eeebaf4755a7f8b4abf3955d5db3b0132f9f669782
browser-specs	w3c-patent-policy	umbrella	https://www.w3.org/policies/patent-policy/	W3C Patent Policy	Editor's Draft	NOT_APPLICABLE	UNKNOWN	UNKNOWN	UNKNOWN	good	W3C	no	w3c-patent-policy				CATALOG_INGESTED	index.json	000e630f3e66d65dc020c6f52d017f62b7867066c5926f08c06b991534f15fc3
browser-specs	w3c-process	umbrella	https://www.w3.org/policies/process/	W3C Process Document	Editor's Draft	NOT_APPLICABLE	UNKNOWN	UNKNOWN	UNKNOWN	good	W3C	yes	w3c-process	https://github.com/w3c/w3process			CATALOG_INGESTED	index.json	5f476270f6e90abea77f0420113cb0b44ceebe4d7623e91c35757751a01d6979
